N,area_narrow,narrow_err_percent
100,0.9500000000000002,0.5804885482645022
600,0.9333333333333336,1.1840814262664474
1100,0.940909090909091,0.38200416511602536
1600,0.9492187500000002,0.49777433070836835
2100,0.9589285714285716,1.5257938917632252
2600,0.939423076923077,0.5393347048032275
3100,0.9318548387096776,1.340615859490978
3600,0.9482638888888891,0.39667917591753415
4100,0.9457317073170733,0.12858648161633018
4600,0.944021739130435,0.05245502955638342
5100,0.9330882352941178,1.2100309847154438
5600,0.939732142857143,0.5066125967590351
6100,0.9524590163934429,0.8408349379494059
6600,0.9446969696969698,0.019034465459191515
7100,0.942605633802817,0.2023840460696591
7600,0.9325657894736844,1.2653445171987987
8100,0.9425925925925929,0.20376477374924534
8600,0.9343023255813955,1.08149014867745
9100,0.9350274725274726,1.0047157969872142
9600,0.9421875000000002,0.24665362729688334
10100,0.9527227722772279,0.8687598807373813
10600,0.9485849056603776,0.4306665692948957
11100,0.9369369369369371,0.8025527831246229
11600,0.9389008620689657,0.5946237839123596
12100,0.9451446280991737,0.06642993998171576
12600,0.9447420634920637,0.023808734870809777
13100,0.9332061068702291,1.1975514260720435
13600,0.9403492647058825,0.4412753156642675
14100,0.9475177304964542,0.3176802541854321
14600,0.9496575342465755,0.5442302611166046
15100,0.9494205298013246,0.5191376054414008
15600,0.9483974358974361,0.41081835840575703
16100,0.9479813664596275,0.3667673401691367
16600,0.9456325301204821,0.11808617542054586
17100,0.9422514619883042,0.23988170305252565
17600,0.9411221590909093,0.35944574214615466
18100,0.9450966850828731,0.061354011558575935
18600,0.9536962365591399,0.9718246313257995
19100,0.9449607329842934,0.04696019209087795
19600,0.9436862244897961,0.0879773732095956
20100,0.9431592039800998,0.14377524725192425
20600,0.946116504854369,0.16932661245145708
21100,0.9449644549763035,0.04735425501167154
21600,0.9488425925925928,0.45794896669986074
22100,0.9430995475113124,0.1500913280684475
22600,0.9439712389380532,0.05780169694747374
23100,0.9480519480519483,0.3742401096829648
23600,0.9508474576271189,0.6702124452745553
24100,0.9423755186721994,0.22674730108005045
24600,0.9424288617886181,0.2210996413852305
25100,0.9534362549800799,0.9442992900253698
25600,0.9500000000000002,0.5804885482645022
26100,0.9381704980842913,0.6719504853824746
26600,0.9510338345864664,0.6899449564590974
27100,0.9473708487084873,0.302129262614329
27600,0.948913043478261,0.4654078977516085
28100,0.9431939501779362,0.14009652140605205
28600,0.9447115384615387,0.020576921730643204
29100,0.9470790378006875,0.271234016645676
29600,0.9440033783783786,0.05439895946369657
30100,0.943355481727575,0.1229944980601242
30600,0.9437091503267975,0.08555011859277972
31100,0.9504019292604503,0.623042486557046
31600,0.9425632911392406,0.2068670416369728
32100,0.9489096573208725,0.4650493910522031
32600,0.9513420245398774,0.7225743207535634
33100,0.9461102719033234,0.16866670375538712
33600,0.9438616071428573,0.06940887539087719
34100,0.9486070381231674,0.4330098260529755
34600,0.9441112716763008,0.04297584302569113
35100,0.9440883190883192,0.04540592988109494
35600,0.9434339887640452,0.11468262849944455
36100,0.9451177285318562,0.06358196985273616
36600,0.9403005464480877,0.446433322159242
37100,0.9453167115902966,0.08464914167459868
37600,0.9434507978723405,0.11290297763164464
38100,0.9438648293963257,0.06906772188763906
38600,0.9430375647668395,0.1566537014586005
39100,0.9499680306905373,0.5771038232494167
39600,0.9416982323232325,0.29845445041285273
40100,0.9399314214463842,0.4855141358505226
40600,0.9456588669950741,0.12087457090822452
41100,0.942822384428224,0.17943574733642592
41600,0.9480168269230771,0.3705216883143036
42100,0.9471496437054633,0.27870936022119525
42600,0.9446889671361505,0.018187200746721352
43100,0.9463167053364271,0.19052267802303194
43600,0.947534403669725,0.3194455130414614
44100,0.9418083900226759,0.286791592278774
44600,0.9446188340807177,0.010761919716391606
45100,0.945038802660754,0.05522575651110371
45600,0.9456140350877195,0.11612802865109133
46100,0.9473698481561824,0.3020233299410188
46600,0.9461909871244637,0.17721236309809313
47100,0.9491242038216562,0.48776432985761636
47600,0.9436449579831935,0.09234643151988299
48100,0.941891891891892,0.27795089880461443
48600,0.9440072016460908,0.05399417405912409
49100,0.9433044806517313,0.1283941960862741
49600,0.9432207661290324,0.13725740407747974
50100,0.9427644710578844,0.1855672790019304
50600,0.9424901185770753,0.21461412800635868
51100,0.942563600782779,0.20683425837553637
51600,0.9448643410852714,0.03675477704274381
52100,0.9459932821497122,0.15628050736238278
52600,0.9435123574144488,0.10638541045263472
53100,0.9401836158192093,0.4588132587685537
53600,0.9442630597014927,0.026905407520873666
54100,0.946880776340111,0.25024324341928533
54600,0.9443223443223445,0.02062869580648062
55100,0.9428312159709621,0.17850071482775762
55600,0.9468525179856117,0.24725141278653012
56100,0.9463012477718362,0.18888612076164654
56600,0.9462455830388694,0.18299266177563564
57100,0.9424912434325746,0.21449503483197346
57600,0.9460503472222224,0.16232222617513142
58100,0.9437607573149744,0.08008627008399678
58600,0.9471843003412971,0.2823786037618295
59100,0.9454103214890018,0.09456001466904516
59600,0.9466862416107384,0.22964703487202306
60100,0.9449043261231282,0.040988160876704566
60600,0.9482054455445547,0.39049153368010747
61100,0.9440875613747955,0.04548615219308823
61600,0.9428571428571431,0.1757557265344762
62100,0.9424516908212562,0.2186826358527762
62600,0.947523961661342,0.31833997377347906
63100,0.9424920760697307,0.21440688004045225
63600,0.9460102201257863,0.15807380200295829
64100,0.9411271450858036,0.35891785393313685
64600,0.9414086687306503,0.32911176368411854
65100,0.9476766513056838,0.3345058674831186
65600,0.9428734756097562,0.1740265094427202
66100,0.9433055975794252,0.12827594226193254
66600,0.9434121621621624,0.11699350247914699
67100,0.9426788375558869,0.19463365738825691
67600,0.9462647928994086,0.1850264903629754
68100,0.9404552129221735,0.43005813318494
68600,0.9445153061224492,0.00019901988471502524
69100,0.9422214182344429,0.2430625614116751
69600,0.9451329022988507,0.06518848027108376
70100,0.9464336661911557,0.20290581477000208
70600,0.9476983002832864,0.3367979356345286
71100,0.9477144866385375,0.3385116530229233
71600,0.9459497206703913,0.1516684706550297
72100,0.9455443828016645,0.10875364869329276
72600,0.9435089531680443,0.10674583231211694
73100,0.9435362517099865,0.10385562106453967
73600,0.9442764945652176,0.025483002092426724
74100,0.9419365721997303,0.2732204070247672
74600,0.9425435656836464,0.20895545843750674
75100,0.9496005326231692,0.5381952599268708
75600,0.9454695767195769,0.10083361471144256
76100,0.942444152431012,0.21948075687765475
76600,0.9439131853785903,0.06394807102405486
77100,0.937824254215305,0.7086087774871934
77600,0.9413176546391754,0.3387478076686721
78100,0.9460947503201026,0.16702336857286817
78600,0.9455152671755727,0.10567105511780983
79100,0.9427781289506956,0.18412126054773442
79600,0.9488536432160807,0.459118942604249
80100,0.9453807740324597,0.09143170139076236
80600,0.9439671215880895,0.058237618074713934
81100,0.943295314426634,0.12936466282147288
81600,0.9434436274509805,0.11366214024584045
82100,0.9442295980511572,0.030448132929686532
82600,0.9452179176755451,0.07418941513638257
83100,0.9445697954271963,0.005569991580679613
83600,0.9448863636363638,0.039086396987957656
84100,0.9446789536266351,0.017127028452893385
84600,0.9455821513002366,0.11275235820709575
85100,0.9438895417156289,0.06645132488902866
85600,0.941807827102804,0.28685119096901934
86100,0.9454849012775843,0.10245609000741752
86600,0.9435623556581988,0.10109188647060713
87100,0.9414753157290472,0.3220555661482949
87600,0.9480593607305937,0.37502492109308205
88100,0.9424517593643589,0.21867537890672362
88600,0.9432279909706548,0.1364924797616209
89100,0.9447671156004491,0.026461106766148032
89600,0.9424386160714288,0.22006691451098068
90100,0.9464761376248614,0.20740244377154649
90600,0.9423289183222959,0.23168107577458602
91100,0.9429884742041714,0.16185112543361893
91600,0.9446370087336247,0.01268614652542319
92100,0.9428067318132466,0.18109295540114456
92600,0.9422516198704105,0.23986498741107046
93100,0.9461868958109562,0.17677919855978555
93600,0.9445379273504275,0.002195984495942873
94100,0.9482598299681192,0.39624944093435666
94600,0.9462737843551798,0.18597845353585352
95100,0.9453207150368036,0.08507300336464936
95600,0.9464304393305442,0.2025641734891798
96100,0.9479058272632677,0.3587696883013314
96600,0.9438535196687373,0.07026513023098938
97100,0.9457518022657057,0.13071401819610914
97600,0.9469006147540986,0.2523436195991712
98100,0.9442787971457698,0.02523921822204281
98600,0.9437246450304262,0.08390962926553049
99100,0.9462790110998992,0.18653183094363346
99600,0.942093373493976,0.25661919567714553
